x y z m s
2.04 4.33 3.15 45 1
2.05 4.32 3.15 45 1
2.06 4.31 3.15 45 1
2.07 4.31 3.15 45 1
2.08 4.29 3.14 45 1
2.09 4.29 3.14 45 2
2.1 4.27 3.14 45 2
2.1 4.26 3.14 45 2
2.11 4.25 3.14 45 2
2.11 4.24 3.14 45 2
2.11 4.22 3.14 45 2
2.11 4.21 3.14 45 2
2.11 4.2 3.14 45 2
2.11 4.19 3.14 45 2
2.11 4.17 3.14 45 2
2.11 4.16 3.13 45 2
2.11 4.14 3.13 45 2
2.1 4.13 3.13 45 2
2.09 4.11 3.13 45 2
2.09 4.1 3.13 45 2
2.08 4.09 3.13 45 3
2.08 4.08 3.13 45 3
2.06 4.06 3.13 45 3
2.06 4.05 3.13 45 3
2.04 4.04 3.13 45 3
2.04 4.03 3.13 45 3
2.02 4.01 3.12 45 3
2.02 4 3.12 45 3
2 3.99 3.12 45 3
1.99 3.98 3.12 45 3
1.98 3.97 3.12 45 3
1.97 3.97 3.12 45 3
1.96 3.96 3.12 45 3
1.96 3.95 3.12 45 3
1.94 3.95 3.12 45 3
1.94 3.94 3.12 45 3
1.93 3.94 3.12 45 4
1.93 3.94 3.12 45 4
1.92 3.93 3.13 45 4
1.92 3.93 3.13 45 4
1.91 3.93 3.13 45 4
1.91 3.93 3.13 45 4
1.91 3.94 3.14 45 4
1.91 3.94 3.14 45 4
1.91 3.94 3.14 45 4
1.91 3.95 3.14 45 4
1.92 3.95 3.14 45 4
1.92 3.96 3.14 45 4
1.93 3.96 3.14 45 4
1.93 3.97 3.14 45 4
1.94 3.98 3.15 45 4
1.94 3.98 3.15 45 4
1.95 3.99 3.15 45 5
1.95 4 3.15 45 5
1.97 4.01 3.15 45 5
1.97 4.02 3.15 45 5
1.98 4.03 3.14 45 5
1.98 4.03 3.14 45 5
2 4.04 3.14 45 5
2 4.04 3.14 45 5
2.01 4.05 3.14 45 5
2.01 4.05 3.14 45 5
2.02 4.06 3.14 45 5
2.03 4.06 3.13 45 5
2.03 4.07 3.13 45 5
2.04 4.07 3.13 45 5
2.04 4.07 3.13 45 5
2.05 4.07 3.13 45 5
2.05 4.07 3.13 45 5
2.05 4.07 3.13 45 6
2.06 4.07 3.13 45 6
2.06 4.07 3.13 45 6
2.06 4.06 3.13 45 6
2.06 4.06 3.13 45 6
2.07 4.05 3.13 45 6
2.07 4.05 3.13 45 6
2.07 4.04 3.13 45 6
2.07 4.04 3.13 45 6
2.07 4.03 3.13 45 6
2.06 4.03 3.13 45 6
2.06 4.02 3.13 45 6
2.06 4.01 3.13 45 6
2.05 4 3.13 45 6
2.05 4 3.13 45 6
2.04 3.99 3.13 45 6
2.04 3.98 3.13 45 6
2.03 3.97 3.13 45 6
